Category,Count,countper
Multifamily_Uncategorized,39455,52.08
Office_Uncategorized,12512,16.52
Education_Other_classroom,3860,5.1
Lodging_Hotel,2098,2.77
2to4_Unit_Building,1893,2.5
Commercial_Other,1744,2.3
5plus_Unit_Building,1273,1.68
Warehouse_Nonrefrigerated,1255,1.66
Retail_Uncategorized,1130,1.49
Education_College_or_university,1056,1.39
Nursing_Home,772,1.02
Education_Uncategorized,709,0.94
Mixed_Use_Commercial_and_Residential,672,0.89
Lodging_Dormitory_or_fraternity_sorority,669,0.88
Warehouse_Distribution_or_Shipping_center,604,0.8
Warehouse_Selfstorage,577,0.76
Grocery_store_or_food_market,448,0.59
Office_Medical_non_diagnostic,447,0.59
Health_Care_Inpatient,409,0.54
Religious_worship,399,0.53
Industrial,384,0.51
Warehouse_Uncategorized,330,0.44
Mixed_Use_Predominantly_Commercial,256,0.34
Parking_Garage,251,0.33
Office_Bank_or_other_financial,173,0.23
Public_Assembly_Library,160,0.21
Public_Safety_Fire_or_police_station,157,0.21
Public_Assembly_Other,142,0.19
Service_Vehicle_service_repair_shop,138,0.18
Retail_Enclosed_mall,120,0.16
Retail_Strip_shopping_mall,113,0.15
Warehouse_Refrigerated,113,0.15
Public_Assembly_Entertainment_culture,110,0.15
Education_Preschool_or_daycare,108,0.14
Laboratory,107,0.14
Commercial_Unknown,95,0.13
Public_Assembly_Social_meeting,88,0.12
Lodging_Other,75,0.1
Retail_Vehicle_dealership_showroom,74,0.1
Public_Assembly_Recreation,72,0.1
Food_Sales,70,0.09
Public_Assembly_Drama_theater,70,0.09
Service_Uncategorized,68,0.09
Food_Service_Restaurant_or_cafeteria,64,0.08
Health_Care_Outpatient_Clinic,56,0.07
Health_Care_Uncategorized,51,0.07
Public_Safety_Uncategorized,43,0.06
Public_Assembly_Movie_Theater,39,0.05
Public_Safety_Courthouse,38,0.05
Public_Safety_Penitentiary,37,0.05
Health_Care_Outpatient_Uncategorized,36,0.05
Data_Center,27,0.04
Public_Assembly_Uncategorized,25,0.03
Office_Mixed_use,18,0.02
Food_Service_Uncategorized,18,0.02
Food_Service_Other,17,0.02
Mixed_Use_Predominantly_Residential,9,0.01
Public_Assembly_Stadium,9,0.01
Service_Drycleaning_or_Laundry,9,0.01
Lodging_Uncategorized,5,0.01
